feature,importance
is_month_start,2.2846675013751344e-05
is_month_end,3.929043442867553e-05
is_weekend,0.0001267478898129383
quarter,0.00023255939082703124
month,0.0004891973484145745
year,0.0007032587140383072
day_of_week,0.0010151607773436493
week_of_year,0.0012456981743127356
sales_rolling_mean_7,0.001503001752605691
sales_rolling_std_14,0.0016016280418780515
sales_rolling_mean_14,0.0017350784425708094
sales_lag_7,0.0018149571893326009
sales_rolling_mean_30,0.0018433777429135876
sales_rolling_std_30,0.001905365322710895
day,0.0019812810769081345
sales_lag_30,0.00206776566618933
sales_lag_14,0.002139245781323834
sales_rolling_std_7,0.0025278187339483685
sales_lag_1,0.003374628727108682
Discount,0.0035970315850983163
sales_ewm_7,0.006637021310064262
Profit,0.06473959016162198
Quantity,0.8986574490615339
